date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:03	58129/58129	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-e311%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	C:/My%20Web%20Sites/pro%20marketing/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	(from https://app.groovefunnels.com/groovepages/css/chunk-vendors.css)
22:51:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2005%20May%202021%2017:21:03%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/pro%20marketing/www.googletagmanager.com/gtm.235445.delayed	(from https://app.groovefunnels.com/groovepages/css/chunk-vendors.css)
22:51:05	1460234/1460234	---MCZ	200	added ('OK')	text/css	etag:W/%2260910e34-16480a%22	https://app.groovefunnels.com/groovepages/css/index.css	C:/My%20Web%20Sites/pro%20marketing/app.groovefunnels.com/groovepages/css/index.css	(from https://app.groovefunnels.com/groovepages/css/chunk-vendors.css)
22:51:07	5998/5998	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2017:21:06%20GMT	https://prodigitalbundle.in/c	C:/My%20Web%20Sites/pro%20marketing/prodigitalbundle.in/c	(from https://connect.facebook.net/en_US/fbevents.js)
22:51:07	5998/5998	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2017:21:06%20GMT	https://prodigitalbundle.in/b	C:/My%20Web%20Sites/pro%20marketing/prodigitalbundle.in/b	(from https://connect.facebook.net/en_US/fbevents.js)
22:51:08	5998/5998	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2017:21:07%20GMT	https://prodigitalbundle.in/POST	C:/My%20Web%20Sites/pro%20marketing/prodigitalbundle.in/POST	(from https://connect.facebook.net/en_US/fbevents.js)
22:51:11	5198746/5198746	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260910e34-4f539a%22	https://app.groovefunnels.com/groovepages/js/index.js	C:/My%20Web%20Sites/pro%20marketing/app.groovefunnels.com/groovepages/js/index.js	(from https://app.groovefunnels.com/groovepages/css/chunk-vendors.css)
22:51:13	5774/5774	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2009:04:52%20GMT	https://app.groovefunnels.com/groovepages/css/[object%20Module]	C:/My%20Web%20Sites/pro%20marketing/app.groovefunnels.com/groovepages/css/[object%20Module].html	(from https://app.groovefunnels.com/groovepages/css/index.css)
22:51:13	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2017:21:11%20GMT	https://app.groovefunnels.com/robots.txt		(from https://app.groovefunnels.com/groovepages/css/index.css)
22:51:13	35662/35662	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2005%20May%202021%2017:21:12%20GMT	https://app.groovefunnels.com/cdn-cgi/bm/cv/669835187/api.js	C:/My%20Web%20Sites/pro%20marketing/app.groovefunnels.com/cdn-cgi/bm/cv/669835187/api.js	(from https://app.groovefunnels.com/groovepages/css/[object%20Module])
